location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
"{B105, B105, B103, B103}","10:30 AM, 10:30 AM, 5:00 PM, 10:30 AM",220,STEM+,0,?,6436c2647efba14cf3f8fffd,"MW, MW, MW, MW",{},"11:50 AM, 11:50 AM, 6:20 PM, 11:50 AM","91, 90, 90, 90",3,BUS,0,LEC,{},?,Intro to Decision Sciences,"95495, 54732, 92850, 52621"
{A211},2:00 PM,301,SPK; WRTD,0,?,6436c2657efba14cf3f8fffe,W,{},4:50 PM,90,3,BUS,0,LEC,{},?,Business Communications,95641
"{B204, B204}","10:30 AM, 10:30 AM",331,NaN,0,?,6436c2a23023723180f7eb7c,"TUTH, TUTH",{},"11:50 AM, 11:50 AM",90,3,BUS,0,LEC,{},?,International Finance,"56321, 56516"
"{B105, B103, B103, B103}","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM",346,NaN,0,?,6436c2657efba14cf3f90003,"MW, MW, MW, MW",{},"4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",90,3,BUS,0,LEC,{},?,Operations Management,"95519, ?, 92851, 52624"
"{A116, A211}","10:30 AM, 10:30 AM",366,NaN,0,?,6436c2657efba14cf3f9000b,"TU, TUTH",{},"1:20 PM, 11:50 AM",90,3,BUS,0,LEC,{},?,Money and Financial Inst.,"95677, 92866"
"{B314, B314}","2:00 PM, 2:00 PM",375,NaN,0,?,6436c2a23023723180f7eb7f,"MW, MW",{},"3:20 PM, 3:20 PM",90,3,BUS,0,LEC,{},?,Data Mining,"56230, 52677"
"{-, -, -, -}","-, -, -, -",475,EXP+,0,?,6436c2657efba14cf3f9000d,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,3,BUS,0,TUT,{},?,Undergrad Teachng Practicum I,
"{-, -, -}","-, -, -",476,EXP+,0,?,6436c2a23023723180f7eb84,"APPT, APPT, APPT",{},"-, -, -",,3,BUS,0,TUT,{},?,Undergrad Teachng Practicum II,
"{C103, C105, C105, C103}","10:30 AM(2:00 PM), 2:00 PM(2:00 PM), 2:00 PM(2:00 PM), 2:00 PM(2:00 PM)",114,TECH,0,?,6436c2667efba14cf3f90019,"MW(TUTH), MW(TUTH), MW(TUTH), MW(TUTH)",{},"11:50 AM(3:20 PM), 3:20 PM(3:20 PM), 3:20 PM(3:20 PM), 3:20 PM(3:20 PM)","90(L90), 90(L90), 90(L90), 90(L90)",4,CSE,0,"LEC(LAB), LEC(LAB), LEC(LAB), LEC(LAB)",{},?,Intro to Object-Oriented Prog,"95405(95406), 54651(54652), 92231(92232), 52090(52091)"
"{B204(B203), C105(C105), B207(B207), C107(C107)}","12:30 PM(3:30 PM), 10:30 AM(5:00 PM), 12:30 PM(3:30 PM), 9:00 AM(12:30 PM)",215,NaN,0,?,6436c2667efba14cf3f9001d,"TUTH(RECW), MW(RECW), TUTH(RECTU), MW(RECM)",{},"1:50 PM(4:25 PM), 11:50 AM(5:55 PM), 1:50 PM(4:25 PM), 10:20 AM(1:25 PM)","90(R90), 90(R90), 90(R90), 90(R90)",4,CSE,0,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)",{},?,Foundations of Comp Science,"95409(95410), 54655(54656), 92235(92236), 52094(52095)"
"{B203(A704), B203(B203), B203(B203), B203(B203)}","5:00 PM(2:00 PM), 2:00 PM(3:30 PM), 9:00 AM(2:00 PM), 10:30 AM(2:00 PM)",216,NaN,0,?,6436c2667efba14cf3f9001f,"TUTH(RECW), MW(RECW), TUTH(RECTH), TUTH(RECW)",{},"6:20 PM(2:55 PM), 3:20 PM(4:25 PM), 10:20 AM(2:55 PM), 11:50 AM(2:55 PM)","90(R90), 90(R90), 90(R90), 90(R90)",4,CSE,0,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)",{},?,Programming Abstractions,"95570(95571), 54785(54786), 92239(92340), 52175(52176)"
"{A704, B204, B204}","10:30 AM, 10:30 AM, 3:30 PM",310,NaN,0,?,6436c2667efba14cf3f90025,"MW, TUTH, MW",{},"11:50 AM, 11:50 AM, 4:50 PM",90,3,CSE,0,LEC,{},?,Computer Networks,"95442, 92268, 56522"
