Class Nbr,Subj,CRS,,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52153,,,Thermal Sciences and Fluid Mechanics Laboratory,,,LAB,L90,,M,12:30 PM,3:20 PM,C606,
"",MEC,317,,,TECH,,,2,,,,,Changwoon Han
56479,,,*Note: Extra course fee $100,,,LAB,L91,,M,9:00 AM,11:50 AM,C606,
52154,MEC,410,Design of Machine Elements,,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B206,TBA
52156,,,,,,LEC,90,,TUTH,10:30 AM,11:50 AM,B314,
"",MEC,411,Control System Analysis and Design,,,,,4,,,,,Changwoon Han
52155,,,,,,LAB,L90,,W,9:00 AM,11:50 AM,B203,
"",,,Mechanical Engineering Design I,,"Partially: CER, ESI,",,,,,,,,
56533,MEC,440,,,,LEC,90,3,TUTH,2:00 PM,3:20 PM,A117,Y. Eugene Pak
"",,,*Note: Extra course fee $165,,"EXP+, SBS+, SPK,",,,,,,,,
52207,MEC,450,Mechatronics,,,LEC,90,3,F,9:00 AM,11:50 AM,A117,Seungbok Choi
56480,MEC,455,Applied Stress Analysis,,,LEC,90,3,MW,10:30 AM,11:50 AM,B104,Y. Eugene Pak
52128,MEC,499,Research in Mechanical Engnrng,,,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,-,Hamid Hefazi
52129,MEC,499,Research in Mechanical Engnrng,,,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,-,Y Pak
52130,MEC,499,Research in Mechanical Engnrng,,,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,-,Gun Woong Bahng
52131,MEC,499,Research in Mechanical Engnrng,,,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,-,Seung Bok Choi
52158,MEC,499,Research in Mechanical Engnrng,,,TUT,T94,0 to 3,APPT,1:00 AM,1:00 AM,-,Changwoon Han
52159,MEC,499,Research in Mechanical Engnrng,,,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,-,Min Yang Yang
52223,MEC,499,Research in Mechanical Engnrng,,,TUT,T96,0 to 3,APPT,1:00 AM,1:00 AM,-,JONGSEONG CHOI
56926,MEC,499,Research in Mechanical Engnrng,,,TUT,T97,0 to 3,APPT,1:00 AM,1:00 AM,-,Cornelius Bradter
52367,MEC,510,Object-Oriented Programming for Scientists and Engineers,,,LEC,90,3,F,12:30 PM,3:20 PM,A117,JONGSEONG CHOI
56482,MEC,530,Applied Stress Analysis,,,LEC,90,3,MW,10:30 AM,11:50 AM,B618,Y. Eugene Pak
52208,MEC,550,Mechatronics,,,LEC,90,3,F,9:00 AM,11:50 AM,A117,Seungbok Choi
56814,MEC,559,Mobile Robotics and Autonomous Vehicles,,,LEC,90,3,MW,2:00 PM,3:20 PM,,JONGSEONG CHOI
52132,MEC,599,Research,,,TUT,T90,1 to 12,APPT,1:00 AM,1:00 AM,-,Hamid Hefazi
52133,MEC,599,Research,,,TUT,T91,1 to 12,APPT,1:00 AM,1:00 AM,-,Y. Eugene Pak
52134,MEC,599,Research,,,TUT,T92,1 to 12,APPT,1:00 AM,1:00 AM,-,Gun Woong Bahng
52135,MEC,599,Research,,,TUT,T93,1 to 12,APPT,1:00 AM,1:00 AM,-,TBA
52160,MEC,599,Research,,,TUT,T94,1 to 12,APPT,1:00 AM,1:00 AM,-,Changwoon Han
52161,MEC,599,Research,,,TUT,T95,1 to 12,APPT,1:00 AM,1:00 AM,-,Min Yang Yang
52226,MEC,599,Research,,,TUT,T96,1 to 12,APPT,1:00 AM,1:00 AM,-,JONGSEONG CHOI
56871,MEC,560,Advanced Control Systems,,,LEC,90,3,M,3:30 PM,6:20 PM,B314,Seung Bok Choi
52164,MEC,691,Mechanical Engineering Seminar,,,SEM,S90,,HTBA,1:00 AM,1:00 AM,-,Changwoon Han
56483,MEC,696,Special Problems in Mechanical Engineering,,,TUT,T90,3,TUTH,12:30 PM,1:50 PM,B104,Min Yang Yang
52227,MEC,698,Practicum in Teaching II,,,TUT,T90,1 to 3,APPT,1:00 AM,1:00 AM,-,Hamid Hefazi
52136,MEC,699,Dissertation Resrch on Campus,,,TUT,T90,1 to 9,APPT,1:00 AM,1:00 AM,-,Hamid Hefazi
52137,MEC,699,Dissertation Resrch on Campus,,,TUT,T91,1 to 9,APPT,1:00 AM,1:00 AM,-,Y. Eugene Pak
52138,MEC,699,Dissertation Resrch on Campus,,,TUT,T92,1 to 9,APPT,1:00 AM,1:00 AM,-,Gun Woong Bahng
52139,MEC,699,Dissertation Resrch on Campus,,,TUT,T93,1 to 9,APPT,1:00 AM,1:00 AM,-,TBA
52162,MEC,699,Dissertation Resrch on Campus,,,TUT,T94,1 to 9,APPT,1:00 AM,1:00 AM,-,Changwoon Han
52163,MEC,699,Dissertation Resrch on Campus,,,TUT,T95,1 to 9,APPT,1:00 AM,1:00 AM,-,Min Yang Yang
52228,MEC,699,Dissertation Resrch on Campus,,,TUT,T96,1 to 9,APPT,1:00 AM,1:00 AM,-,JONGSEONG CHOI
Class Nbr,Subj,CRS,,Course Title,es,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
56468,,,,,,LEC,90,,TUTH,9:00 AM,9:50 AM,C105,
"",ARH,203,Arts of Asia,,"ARTS, GLO",,,3,,,,,Young Ji Lee
56469,,,,,,REC,R90,,TUTH,10:00 AM,10:30 AM,C105,
56470,ARS,154,Foundations: Drawing,,ARTS,LAB,90,3,TUTH,9:00 AM,11:50 AM,A704,Jayeon Kwon
"",,,Foundations: Idea and Form,,,,,,,,,,
48462,ARS,205,,,ARTS,LAB,L90,3,MF,9:00 AM,11:50 AM,A724,Rachel Stuckey
"",,,*Note: Extra course fee $60,,,,,,,,,,
49113,,,Introduction to Digital Art,,,LEC,90,,W,9:00 AM,11:50 AM,A724,
"",ARS,225,,,"ARTS, TECH",,,3,,,,,Rachel Stuckey
49114,,,*Note: Extra course fee $60,,,LAB,L90,,F,12:30 PM,3:20 PM,A724,
53630,ATM,102,Weather and Climate,,SNW,LEC,90,3,F,12:30 PM,3:20 PM,C105,Seon Ki Park
48419,BIO,201,Organisms to Ecosystems,,SNW,LEC,90,3,TUTH,2:00 PM,3:20 PM,C107,Hye-Joo Kwon
54089,CAR,251,Career & Life Design II - Employability Skills,,,SEM,S90,2,TH,3:30 PM,5:20 PM,A114,Sunghyun Lee
48436,,,,,,LEC,90,,TUTH,1:30 PM,2:50 PM,A114,
"",CHI,111,Elementary Chinese I,,Partially fulfills: LANG,,,4,,,,,Mengyang Jia
48435,,,,,,REC,R90,,TU,3:00 PM,3:55 PM,A114,
48441,,,,,,LEC,91,,TUTH,10:30 AM,11:50 AM,A114,
"",CHI,111,Elementary Chinese I,,Partially fulfills: LANG,,,4,,,,,Mengyang Jia
48442,,,,,,REC,R91,,TH,9:30 AM,10:25 AM,A114,
49109,,,,,,LEC,92,,MW,2:00 PM,3:20 PM,A114,
"",CHI,111,Elementary Chinese I,,Partially fulfills: LANG,,,4,,,,,Mengyang Jia
49110,,,,,,REC,R92,,M,3:30 PM,4:25 PM,A114,
48443,,,,,,LEC,90,,MW,9:30 AM,10:50 AM,A114,
"",CHI,112,Elementary Chinese II,,LANG,,,4,,,,,Mengyang Jia
48444,,,,,,REC,R90,,M,11:00 AM,11:55 AM,A114,
56471,COM,120,Fundamentals of Public Speaking,,SPK,LEC,90,3,MW,9:00 AM,10:20 AM,B103,Andrew Lasher
48410,,,,,,LEC,90,,TU,3:00 PM,5:50 PM,B103,
"",ECO,108,Introduction to Economics,,SBS,,,4,,,,,Jong Seok Kim
48411,,,,,,REC,R90,,TU,2:00 PM,2:55 PM,B103,
52127,ESG,198,Fundamentals of Engineering Chemistry,,,LEC,90,3,TUTH,10:30 AM,11:50 AM,A312,Woong Moo Lee
54194,FLM,102,Intro to Film and TV Composition,,HUM,LEC,90,3,F,1:00 PM,3:50 PM,C103,Sun Park
54205,FLM,102,Intro to Film and TV Composition,,HUM,LEC,91,3,F,9:30 AM,12:20 AM,C103,Sun Park
48455,GEO,102,The Earth,,SNW,LEC,90,3,F,9:30 AM,12:20 PM,C105,Young Jae Lee
49111,,,,,,LEC,90,,TUTH,3:30 PM,4:25 PM,C105,
"",HIS,104,United States Since 1877,,"DIV, SBS, USA",,,3,,,,,Donald Bellomy
49112,,,,,,REC,R90,,TH,12:30 PM,1:25 PM,C105,
56478,HIS,238,"Science, Technology, and Medicine in Western Civilization II",,STAS,LEC,90,3,MW,9:00 AM,10:20 AM,C105,Donald Bellomy
48449,,,,,,LEC,90,,TUTH,9:00 AM,10:20 AM,A724,
"",KOR,111,Elementary Korean I,,Partially fulfills: LANG,,,4,,,,,Hea Hur
48448,,,,,,REC,R90,,TU,10:30 AM,11:25 AM,A724,
48434,,,,,,LEC,90,,TUTH,12:30PM,1:50PM,A724,
"",KOR,112,Elementary Korean II,,LANG,,,4,,,,,Hea Hur
48433,,,,,,REC,R90,,TH,11:30AM,12:25PM,A724,
48437,KOR,220,Intermediate Heritage Korean,,"GLO, HUM, LANG",LEC,90,3,M,12:00 PM,2:50 PM,B203,Koksuk Seo
49119,KOR,220,Intermediate Heritage Korean,,"GLO, HUM, LANG",LEC,91,3,M,9:00 AM,11:50 AM,B203,Koksuk Seo
48445,MAP,103,Proficiency Algebra,,,LEC,90,3,MW,2:00 PM,3:20 PM,A724,Sang Hee Park
48439,,,,,,LEC,90,,MW,10:30 AM,11:50 AM,C103,
"",MAT,122,Overview of Calculus with Appl,,QPS,,,3,,,,,Jaeyeong Lee
48438,,,,,,REC,R90,,M,12:30 PM,1:25 PM,C103,
48420,,,,,,LEC,90,,MW,5:00 PM,6:20 PM,C105,
"",MAT,123,Precalculus,,QPS,,,3,,,,,Young-Seon Lee
48421,,,,,,REC,R90,,M,12:30 PM,1:25 PM,C105,
48446,MUS,105,Music Cultures of the World,,ARTS,LEC,90,3,TU,9:30 AM,12:20 PM,C107,Yejin Park
56484,PHI,101,Historical Introduction to Western Philosophy,,HUM,LEC,90,3,TU,12:30 PM,3:20 PM,B105,Jun Young Kim
48413,,,,,,LEC,90,,TUTH,10:30 AM,11:50 AM,A211,
"",PHY,131,Classical Physics I,,SNW,,,3,,,,,Mackenzie Lenz
48412,,,,,,REC,R90,,W,9:30 AM,10:25 AM,A211,
48414,,,,,,LEC,91,,TUTH,9:00 AM,10:20 AM,A211,
"",PHY,132,Classical Physics II,,SNW,,,3,,,,,Mackenzie Lenz
48415,,,,,,REC,R91,,W,10:30 AM,11:25 AM,A211,
"",,,Classical Physics Laboratory I,,,,,,,,,,
48416,PHY,133,,,,LAB,L90,1,F,9:00 AM,11:20 AM,C303,Mackenzie Lenz
"",,,*Note: Extra course fee $26,,,,,,,,,,
"",,,Classical Physics Laboratory I,,,,,,,,,,
48417,PHY,133,,,,LAB,L91,1,F,11:30 AM,1:50 PM,C303,Mackenzie Lenz
"",,,*Note: Extra course fee $26,,,,,,,,,,
"",,,Classical Physics Lab II,,,,,,,,,,
48418,PHY,134,,,,LAB,L90,1,W,2:00 PM,4:20 PM,C303,Mackenzie Lenz
"",,,*Note: Extra course fee $26,,,,,,,,,,
56485,POL,101,World Politics,,"GLO, SBS",LEC,90,3,MW,9:00 AM,10:20 AM,C103,Jung Min Hong
56486,POL,102,Intro to American Government,,"SBS, USA",LEC,90,3,MW,2:00 PM,3:20 PM,C105,Jung Min Hong
48452 /,,,,,,,,,,,,,
"",SOC/WST,247,Sociology of Gender,,"DIV, SBS",LEC,90,3,F,12:00 PM,2:50 PM,C107,Juhyun Woo
48453,,,,,,,,,,,,,
56534,SPN,111,Elementary Spanish I,,Partially fulfills: LANG,LEC,90,4,MW,9:00 AM,10:50 AM,B314,George Burgos
53632,,,,,,LEC,90,,F,12:30 PM,2:20 PM,B203,
"",SUS,206,Economics and Sustainability,,SBS+,,,3,,,,,Young June Kwon
53631,,,,,,REC,R90,,F,2:20 PM,3:15 PM,B203,
Class Nbr,Subj,CRS,,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
48456,OAE,585,Oral Academic English (Advanced),,,LEC,90,3,F,9:00 AM,11:50 AM,B104,Hyun-ju Kim
48422,WAE,192,High Intermediate Writing Academic English,,,LEC,90,3,TUTH,3:30 PM,4:50 PM,A117,Yeji Seok
48423,WAE,192,High Intermediate Writing Academic English,,,LEC,91,3,MW,2:00 PM,3:20 PM,A117,Hyun-ju Kim
48454,WAE,192,High Intermediate Writing Academic English,,,LEC,92,3,MW,3:30 PM,4:50 PM,A117,Hyun-ju Kim
56487,WAE,192,High Intermediate Writing Academic English,,,LEC,93,3,TUTH,9:00 AM,10:20 AM,A117,Yeji Seok
56488,WAE,192,High Intermediate Writing Academic English,,,LEC,94,3,MW,9:00 AM,10:20 AM,A117,Hyun-ju Kim
48457,WAE,194,Advanced Writing Academic English,,,LEC,90,3,TUTH,9:00 AM,10:20 AM,B313,Christopher Houghton
48424,WAE,194,Advanced Writing Academic English,,,LEC,91,3,TUTH,10:30 AM,11:50 AM,B313,Christopher Houghton
48425,WAE,194,Advanced Writing Academic English,,,LEC,92,3,MW,2:00 PM,3:20 PM,A116,Lindsay Dennison
48432,WAE,194,Advanced Writing Academic English,,,LEC,93,3,TUTH,3:30 PM,4:50 PM,A116,Christopher Houghton
48440,WAE,194,Advanced Writing Academic English,,,LEC,94,3,MW,10:30 AM,11:50 AM,A116,Lindsay Dennison
48463,WAE,194,Advanced Writing Academic English,,,LEC,95,3,MW,9:00 AM,10:20 AM,A116,Lindsay Dennison
56535,WAE,194,Advanced Writing Academic English,,,LEC,96,3,MW,3:30 PM,4:50 PM,A116,Lindsay Dennison
48426,WRT,101,Introductory Writing Workshop,,Partially fulfills: WRT,LEC,90,3,MW,10:30 AM,11:50 AM,A117,TBA
48427,WRT,101,Introductory Writing Workshop,,Partially fulfills: WRT,LEC,91,3,TUTH,9:00 AM,10:20 AM,B206,Elizabeth May
48428,WRT,101,Introductory Writing Workshop,,Partially fulfills: WRT,LEC,92,3,TUTH,10:30 AM,11:50 AM,B206,Yeji Seok
48458,WRT,101,Introductory Writing Workshop,,Partially fulfills: WRT,LEC,93,3,MW,2:00 PM,3:20 PM,B313,Adam White
48459,WRT,101,Introductory Writing Workshop,,Partially fulfills: WRT,LEC,94,3,TUTH,2:00 PM,3:20 PM,B206,Yeji Seok
48450,WRT,101,Introductory Writing Workshop,,Partially fulfills: WRT,LEC,95,3,TUTH,3:30 PM,4:50 PM,B313,Adam White
48429,WRT,102,Intermediate Writing Workshop,,WRT,LEC,90,3,TUTH,9:00 AM,10:20 AM,B104,Timothy Fletcher
48430,WRT,102,Intermediate Writing Workshop,,WRT,LEC,91,3,MW,10:30 AM,11:50 AM,B204,Terence Oliga
48431,WRT,102,Intermediate Writing Workshop,,WRT,LEC,92,3,TUTH,10:30 AM,11:50 AM,B104,Timothy Fletcher
48447,WRT,102,Intermediate Writing Workshop,,WRT,LEC,93,3,MW,2:00 PM,3:20 PM,B104,Terence Oliga
48451,WRT,102,Intermediate Writing Workshop,,WRT,LEC,94,3,TUTH,2:00 PM,3:20 PM,B104,TBA
56489,WRT,102,Intermediate Writing Workshop,,WRT,LEC,95,3,TUTH,3:30 PM,4:50 PM,B205,TBA
